View site,View site
Store Auto Switcher,Store Auto Switcher
Countries,Countries
Locations,Locations
Names,Names
"Flags + Names","Flags + Names"
Global,Global
Website,Website
Select All,Select All
Unselect All,Unselect All
Invert Selection,Invert Selection
GeoIP Extensions,GeoIP Extensions
Store Switcher,Store Switcher
Store Auto Switcher Scope,Store Auto Switcher Scope
"If set to ""Website"" the switcher works within one website only <br/>If set to ""Global"" the switcher works between websites","If set to ""Website"" the switcher works within one website only <br/>If set to ""Global"" the switcher works between websites"
Disable Key,Disable Key
"To disable Store Auto Switcher for administrative purposes use this key, e.g.<br/>http://www.example.com/?_store_switcher_=<b>key</b>","To disable Store Auto Switcher for administrative purposes use this key, e.g.<br/>http://www.example.com/?_store_switcher_=<b>key</b>"
Exception URLs,Exception URLs
"Exception URLs are relative URLs to your Store URL used mainly to disable Store Auto Switcher for payment processing gateways.<br/>Enter one URL per line.<br/><b>*</b> means anything<br/><b>Example:</b><br/>/paypal/*<br/>/twocheckout/*","Exception URLs are relative URLs to your Store URL used mainly to disable Store Auto Switcher for payment processing gateways.<br/>Enter one URL per line.<br/><b>*</b> means anything<br/><b>Example:</b><br/>/paypal/*<br/>/twocheckout/*"
Auto Switch Country,Auto Switch Country
IP List,IP List
"List of IPs for which Store Switcher should be disabled<br/><b>Example:</b><br/>123.123.123.123<br/>123.123.*.*","List of IPs for which Store Switcher should be disabled<br/><b>Example:</b><br/>123.123.123.123<br/>123.123.*.*"
User Agent List,User Agent List
"List of User Agents for which Store Switcher should be disabled. Enter one User Agent per line<br/><b>Example:</b><br/>gsa-crawler<br/>Googlebot*","List of User Agents for which Store Switcher should be disabled. Enter one User Agent per line<br/><b>Example:</b><br/>gsa-crawler<br/>Googlebot*"
Choose country,Choose country